,Anwohner,Besucher,tXK}G3Eg,Ld)s@YEM,VersagerGoldesel,VollzeitToleranz,Computer,Diagnose,aVr\un?R,Mf(d_?zb,VorstandTablette,StellungZwilling,Duftnote,Ehebruch,zpPe&f8*,fUTkNLDY,GottheitWeltraum,UmtauschWeinfass,Eindruck,Fachmann,3YWRx-#-,UCMV&MH8,ApfelmusHandbuch,AuerhuhnHauswand,Fahrwerk,Festland,"gsy.,fUy",cXyNffH#,BeispielHufeisen,BierglasFahrplan,Flugplan,Gasmaske,[-z8S*E+,fa.{DqnA,ChefarztDreizack,DezernatWerkbank
2,colorhalftone_input1%6.098,colorhalftone_input1%4.302,colorhalftone_input1%15.069,colorhalftone_input1%12.404,colorhalftone_input1%8.782,colorhalftone_input1%6.298,crystallize_input1%5.568,crystallize_input1%5.002,crystallize_input1%10.788,crystallize_input1%13.886,crystallize_input1%9.987,crystallize_input1%12.045,asterisk_input1%6.907,asterisk_input1%6.972,asterisk_input1%12.275,asterisk_input1%15.55,asterisk_input1%7.852,asterisk_input1%14.623,blur_input1%5.636,blur_input1%4.86,blur_input1%16.349,blur_input1%11.319,blur_input1%10.555,blur_input1%12.019,plaintext_input1%7.066,plaintext_input1%3.803,plaintext_input1%9.068,plaintext_input1%9.568,plaintext_input1%7.852,plaintext_input1%6.995,pixelation_input1%4.701,pixelation_input1%3.709,pixelation_input1%17.063,pixelation_input1%15.936,pixelation_input1%13.702,pixelation_input1%11.568
3,colorhalftone_input1%11.028,colorhalftone_input1%6.078,colorhalftone_input1%19.007,colorhalftone_input1%13.303,colorhalftone_input1%11.343,colorhalftone_input1%9.463,crystallize_input1%5.883,crystallize_input1%7.007,crystallize_input1%14.34,crystallize_input1%12.507,crystallize_input1%14.419,crystallize_input1%15.142,asterisk_input1%10.808,asterisk_input1%7.554,asterisk_input1%14.788,asterisk_input1%9.726,asterisk_input1%12.107,asterisk_input1%13.073,blur_input1%10.137,blur_input1%5.175,blur_input1%13.965,blur_input1%11.752,blur_input1%12.22,blur_input1%11.569,plaintext_input1%6.703,plaintext_input1%4.956,plaintext_input1%11.234,plaintext_input1%11.196,plaintext_input1%10.174,plaintext_input1%12.863,pixelation_input1%5.818,pixelation_input1%6.419,pixelation_input1%19.778,pixelation_input1%10.859,pixelation_input1%13.907,pixelation_input1%11.871
4,colorhalftone_input1%6.139,colorhalftone_input1%6.62,colorhalftone_input1%19.501,colorhalftone_input1%17.987,colorhalftone_input1%11.055,colorhalftone_input1%9.303,crystallize_input1%9.534,crystallize_input1%7.935,crystallize_input1%13.802,crystallize_input1%16.904,crystallize_input1%10.087,crystallize_input1%14.42,asterisk_input1%6.487,asterisk_input1%5.47,asterisk_input1%16.336,asterisk_input1%12.32,asterisk_input1%10.885,asterisk_input1%9.704,blur_input1%6.619,blur_input1%6.203,blur_input1%18.689,blur_input1%13.503,blur_input1%12.454,blur_input1%10.686,plaintext_input1%8.305,plaintext_input1%4.803,plaintext_input1%11.835,plaintext_input1%13.52,plaintext_input1%9.97,plaintext_input1%9.221,pixelation_input1%7.004,pixelation_input1%6.671,pixelation_input1%20.688,pixelation_input1%17.002,pixelation_input1%11.272,pixelation_input1%12.504
5,crystallize_input1%8.49,crystallize_input1%5.362,crystallize_input1%19.483,crystallize_input1%11.69,crystallize_input1%7.385,crystallize_input1%9.391,blur_input1%6.372,blur_input1%4.518,blur_input1%16.286,blur_input1%16.287,blur_input1%7.757,blur_input1%9.39,colorhalftone_input1%6.826,colorhalftone_input1%6.906,colorhalftone_input1%17.425,colorhalftone_input1%9.348,colorhalftone_input1%7.357,colorhalftone_input1%8.604,pixelation_input1%5.899,pixelation_input1%5.901,pixelation_input1%14.535,pixelation_input1%13.53,pixelation_input1%10.648,pixelation_input1%7.844,asterisk_input1%10.143,asterisk_input1%4.3,asterisk_input1%15.637,asterisk_input1%12.011,asterisk_input1%8.842,asterisk_input1%10.098,plaintext_input1%8.343,plaintext_input1%5.874,plaintext_input1%24.403,plaintext_input1%31.68,plaintext_input1%10.521,plaintext_input1%8.824
6,crystallize_input1%8.724,crystallize_input1%10.969,crystallize_input1%27.855,crystallize_input1%19.856,crystallize_input1%8.802,crystallize_input1%8.486,blur_input1%6.917,blur_input1%6.103,blur_input1%17.568,blur_input1%20.87,blur_input1%7.176,blur_input1%9.037,colorhalftone_input1%12.434,colorhalftone_input1%5.668,colorhalftone_input1%14.602,colorhalftone_input1%13.668,colorhalftone_input1%10.053,colorhalftone_input1%8.803,pixelation_input1%5.8,pixelation_input1%6.22,pixelation_input1%19.285,pixelation_input1%38.537,pixelation_input1%10.768,pixelation_input1%10.971,asterisk_input1%6.452,asterisk_input1%5.669,asterisk_input1%11.629,asterisk_input1%13.418,asterisk_input1%8.17,asterisk_input1%10.002,plaintext_input1%4.703,plaintext_input1%4.805,plaintext_input1%33.453,plaintext_input1%20.122,plaintext_input1%13.934,plaintext_input1%18.62
7,crystallize_input1%12.763,crystallize_input1%13.825,crystallize_input1%28.484,crystallize_input1%23.734,crystallize_input1%28.045,crystallize_input1%17.856,blur_input1%11.663,blur_input1%11.105,blur_input1%19.074,blur_input1%28.818,blur_input1%17.179,blur_input1%16.668,colorhalftone_input1%16.834,colorhalftone_input1%8.871,colorhalftone_input1%19.047,colorhalftone_input1%20.239,colorhalftone_input1%18.234,colorhalftone_input1%18.638,pixelation_input1%14.253,pixelation_input1%8.908,pixelation_input1%24.234,pixelation_input1%27.508,pixelation_input1%23.732,pixelation_input1%16.551,asterisk_input1%21.323,asterisk_input1%17.137,asterisk_input1%16.227,asterisk_input1%18.551,asterisk_input1%21.097,asterisk_input1%22.465,plaintext_input1%8.753,plaintext_input1%8.448,plaintext_input1%29.826,plaintext_input1%20.396,plaintext_input1%16.471,plaintext_input1%17.957
8,blur_input1%17.36,blur_input1%5.064,blur_input1%17.72,blur_input1%14.427,blur_input1%15.911,blur_input1%10.224,pixelation_input1%5.229,pixelation_input1%10.984,pixelation_input1%13.744,pixelation_input1%13.884,pixelation_input1%18.711,pixelation_input1%7.696,crystallize_input1%8.985,crystallize_input1%4.397,crystallize_input1%16.498,crystallize_input1%11.531,crystallize_input1%10.02,crystallize_input1%8.969,plaintext_input1%5.481,plaintext_input1%3.562,plaintext_input1%14.16,plaintext_input1%14.244,plaintext_input1%8.51,plaintext_input1%11.576,colorhalftone_input1%5.343,colorhalftone_input1%3.158,colorhalftone_input1%7.229,colorhalftone_input1%12.545,colorhalftone_input1%8.471,colorhalftone_input1%7.202,asterisk_input1%4.746,asterisk_input1%7.292,asterisk_input1%20.659,asterisk_input1%12.256,asterisk_input1%12.253,asterisk_input1%22.08
9,blur_input1%11.391,blur_input1%11.998,blur_input1%22.912,blur_input1%20.293,blur_input1%21.104,blur_input1%19.77,pixelation_input1%10.414,pixelation_input1%8.267,pixelation_input1%18.575,pixelation_input1%20.392,pixelation_input1%18.485,pixelation_input1%14.528,crystallize_input1%12.261,crystallize_input1%10.218,crystallize_input1%22.658,crystallize_input1%16.7,crystallize_input1%17.83,crystallize_input1%15.829,plaintext_input1%11.939,plaintext_input1%7.882,plaintext_input1%33.317,plaintext_input1%25.999,plaintext_input1%15.452,plaintext_input1%15.984,colorhalftone_input1%9.804,colorhalftone_input1%8.74,colorhalftone_input1%15.772,colorhalftone_input1%16.78,colorhalftone_input1%17.376,colorhalftone_input1%15.046,asterisk_input1%9.709,asterisk_input1%8.173,asterisk_input1%28.478,asterisk_input1%18.424,asterisk_input1%19.969,asterisk_input1%19.48
10,blur_input1%21.113,blur_input1%5.626,blur_input1%17.84,blur_input1%15.506,blur_input1%14.126,blur_input1%14.981,pixelation_input1%8.373,pixelation_input1%12.528,pixelation_input1%14.214,pixelation_input1%18.933,pixelation_input1%14.012,pixelation_input1%13.161,crystallize_input1%9.616,crystallize_input1%9.195,crystallize_input1%16.644,crystallize_input1%18.843,crystallize_input1%16.582,crystallize_input1%18.317,plaintext_input1%9.219,plaintext_input1%5.662,plaintext_input1%19.273,plaintext_input1%13.548,plaintext_input1%14.63,plaintext_input1%16.268,colorhalftone_input1%10.651,colorhalftone_input1%9.123,colorhalftone_input1%14.234,colorhalftone_input1%17.154,colorhalftone_input1%17.141,colorhalftone_input1%15.862,asterisk_input1%23.54,asterisk_input1%8.962,asterisk_input1%21.17,asterisk_input1%18.056,asterisk_input1%19.581,asterisk_input1%21.054
11,pixelation_input1%15.346,pixelation_input1%9.51,pixelation_input1%31.936,pixelation_input1%23.696,pixelation_input1%17.112,pixelation_input1%28.069,plaintext_input1%11.179,plaintext_input1%6.741,plaintext_input1%21.564,plaintext_input1%21.82,plaintext_input1%16.121,plaintext_input1%12.647,blur_input1%7.691,blur_input1%9.081,blur_input1%20.203,blur_input1%14.704,blur_input1%10.966,blur_input1%9.858,asterisk_input1%5.025,asterisk_input1%7.03,asterisk_input1%19.906,asterisk_input1%15.815,asterisk_input1%9.804,asterisk_input1%13.139,crystallize_input1%8.597,crystallize_input1%6.02,crystallize_input1%19.484,crystallize_input1%19.358,crystallize_input1%13.692,crystallize_input1%9.938,colorhalftone_input1%5.973,colorhalftone_input1%6.464,colorhalftone_input1%22.895,colorhalftone_input1%17.548,colorhalftone_input1%19.682,colorhalftone_input1%14.452
12,pixelation_input1%9.573,pixelation_input1%10.093,pixelation_input1%43.655,pixelation_input1%21.321,pixelation_input1%17.895,pixelation_input1%14.994,plaintext_input1%9.607,plaintext_input1%16.983,plaintext_input1%17.383,plaintext_input1%21.911,plaintext_input1%19.577,plaintext_input1%18.257,blur_input1%10.224,blur_input1%11.392,blur_input1%27.978,blur_input1%17.535,blur_input1%15.413,blur_input1%56.178,asterisk_input1%9.896,asterisk_input1%32.026,asterisk_input1%21.379,asterisk_input1%16.509,asterisk_input1%17.657,asterisk_input1%17.099,crystallize_input1%10.541,crystallize_input1%13.481,crystallize_input1%14.291,crystallize_input1%15.194,crystallize_input1%20.061,crystallize_input1%12.415,colorhalftone_input1%7.379,colorhalftone_input1%8.022,colorhalftone_input1%28.581,colorhalftone_input1%18.701,colorhalftone_input1%19.625,colorhalftone_input1%15.799
13,pixelation_input1%8.583,pixelation_input1%6.23,pixelation_input1%19.74,pixelation_input1%15.143,pixelation_input1%9.198,pixelation_input1%10.287,plaintext_input1%6.269,plaintext_input1%5.514,plaintext_input1%13.159,plaintext_input1%18.63,plaintext_input1%13.299,plaintext_input1%11.542,blur_input1%8.069,blur_input1%6.991,blur_input1%14.74,blur_input1%12.304,blur_input1%9.739,blur_input1%9.794,asterisk_input1%7.324,asterisk_input1%6.224,asterisk_input1%13.592,asterisk_input1%15.675,asterisk_input1%11.781,asterisk_input1%10.664,crystallize_input1%7.779,crystallize_input1%6.14,crystallize_input1%9.995,crystallize_input1%2.473,crystallize_input1%10.079,crystallize_input1%9.92,colorhalftone_input1%7.508,colorhalftone_input1%5.735,colorhalftone_input1%18.584,colorhalftone_input1%13.513,colorhalftone_input1%11.385,colorhalftone_input1%9.993
14,plaintext_input1%7.019,plaintext_input1%6.755,plaintext_input1%16.171,plaintext_input1%12.855,plaintext_input1%8.917,plaintext_input1%8.655,asterisk_input1%10.169,asterisk_input1%4.869,asterisk_input1%14.886,asterisk_input1%17.604,asterisk_input1%5.653,asterisk_input1%8.151,pixelation_input1%5.869,pixelation_input1%4.786,pixelation_input1%16.556,pixelation_input1%11.889,pixelation_input1%8.003,pixelation_input1%7.287,colorhalftone_input1%5.506,colorhalftone_input1%4.072,colorhalftone_input1%18.919,colorhalftone_input1%13.087,colorhalftone_input1%8.085,colorhalftone_input1%7.886,blur_input1%4.203,blur_input1%4.739,blur_input1%11.039,blur_input1%16.087,blur_input1%9.821,blur_input1%9.203,crystallize_input1%9.719,crystallize_input1%4.635,crystallize_input1%27.087,crystallize_input1%14.953,crystallize_input1%9.639,crystallize_input1%6.852
15,plaintext_input1%4.739,plaintext_input1%3.904,plaintext_input1%12.984,plaintext_input1%12.473,plaintext_input1%9.321,plaintext_input1%9.937,asterisk_input1%4.462,asterisk_input1%4.205,asterisk_input1%20.866,asterisk_input1%11.985,asterisk_input1%8.312,asterisk_input1%6.586,pixelation_input1%6.761,pixelation_input1%5.954,pixelation_input1%14.439,pixelation_input1%8.75,pixelation_input1%13.768,pixelation_input1%6.792,colorhalftone_input1%5.74,colorhalftone_input1%5.092,colorhalftone_input1%11.712,colorhalftone_input1%13.085,colorhalftone_input1%7.684,colorhalftone_input1%9.278,blur_input1%5.136,blur_input1%5.413,blur_input1%10.77,blur_input1%9.874,blur_input1%9.541,blur_input1%7.572,crystallize_input1%5.427,crystallize_input1%6.164,crystallize_input1%17.115,crystallize_input1%13.873,crystallize_input1%12.648,crystallize_input1%9.738
16,plaintext_input1%9.899,plaintext_input1%7.135,plaintext_input1%20.21,plaintext_input1%17.262,plaintext_input1%11.121,plaintext_input1%10.744,asterisk_input1%6.928,asterisk_input1%7.112,asterisk_input1%19.302,asterisk_input1%19.096,asterisk_input1%10.578,asterisk_input1%8.815,pixelation_input1%7.787,pixelation_input1%6.662,pixelation_input1%29.677,pixelation_input1%14.212,pixelation_input1%10.974,pixelation_input1%8.566,colorhalftone_input1%9.561,colorhalftone_input1%5.335,colorhalftone_input1%20.323,colorhalftone_input1%18.194,colorhalftone_input1%10.129,colorhalftone_input1%12.052,blur_input1%6.838,blur_input1%5.731,blur_input1%11.897,blur_input1%14.458,blur_input1%10.918,blur_input1%10.277,crystallize_input1%10.415,crystallize_input1%5.933,crystallize_input1%29.965,crystallize_input1%17.392,crystallize_input1%13.459,crystallize_input1%12.196
17,asterisk_input1%7.08,asterisk_input1%6.501,asterisk_input1%16.329,asterisk_input1%15.054,asterisk_input1%9.292,asterisk_input1%13.235,colorhalftone_input1%9.67,colorhalftone_input1%7.232,colorhalftone_input1%15.153,colorhalftone_input1%13.854,colorhalftone_input1%14.364,colorhalftone_input1%12.552,plaintext_input1%6.375,plaintext_input1%3.595,plaintext_input1%15.097,plaintext_input1%14.471,plaintext_input1%10.203,plaintext_input1%8.985,crystallize_input1%5.364,crystallize_input1%6.854,crystallize_input1%15.438,crystallize_input1%15.321,crystallize_input1%10.21,crystallize_input1%10.351,pixelation_input1%11.263,pixelation_input1%6.04,pixelation_input1%11.571,pixelation_input1%15.069,pixelation_input1%10.034,pixelation_input1%10.553,blur_input1%6.653,blur_input1%5.7,blur_input1%24.964,blur_input1%11.9,blur_input1%11.747,blur_input1%12.973
18,asterisk_input1%4.92,asterisk_input1%5.682,asterisk_input1%22.333,asterisk_input1%16.155,asterisk_input1%10.666,asterisk_input1%9.87,colorhalftone_input1%7.125,colorhalftone_input1%5.701,colorhalftone_input1%15.652,colorhalftone_input1%18.131,colorhalftone_input1%10.26,colorhalftone_input1%11.518,plaintext_input1%6.561,plaintext_input1%5.33,plaintext_input1%15.626,plaintext_input1%14.404,plaintext_input1%9.405,plaintext_input1%8.579,crystallize_input1%4.129,crystallize_input1%5.03,crystallize_input1%23.805,crystallize_input1%14.657,crystallize_input1%8.37,crystallize_input1%8.111,pixelation_input1%4.757,pixelation_input1%3.562,pixelation_input1%15.705,pixelation_input1%14.835,pixelation_input1%6.991,pixelation_input1%8.435,blur_input1%10.583,blur_input1%4.743,blur_input1%23.532,blur_input1%13.985,blur_input1%13.792,blur_input1%10.109
19,asterisk_input1%5.63,asterisk_input1%4.616,asterisk_input1%18.702,asterisk_input1%17.551,asterisk_input1%7.171,asterisk_input1%8.837,colorhalftone_input1%7.155,colorhalftone_input1%4.651,colorhalftone_input1%17.305,colorhalftone_input1%18.64,colorhalftone_input1%7.232,colorhalftone_input1%16.786,plaintext_input1%7.638,plaintext_input1%4.321,plaintext_input1%14.523,plaintext_input1%19.62,plaintext_input1%9.431,plaintext_input1%10.698,crystallize_input1%6.521,crystallize_input1%5.194,crystallize_input1%23.88,crystallize_input1%16.222,crystallize_input1%9.303,crystallize_input1%8.701,pixelation_input1%8.171,pixelation_input1%14.438,pixelation_input1%11.751,pixelation_input1%14.285,pixelation_input1%9.902,pixelation_input1%9.066,blur_input1%8.714,blur_input1%4.471,blur_input1%24.174,blur_input1%11.655,blur_input1%12.627,blur_input1%9.667
20,colorhalftone_input1%4.035,colorhalftone_input1%5.073,colorhalftone_input1%23.455,colorhalftone_input1%22.288,colorhalftone_input1%11.27,colorhalftone_input1%9.758,crystallize_input1%6.766,crystallize_input1%6.104,crystallize_input1%16.457,crystallize_input1%17.357,crystallize_input1%10.26,crystallize_input1%9.1,asterisk_input1%7.739,asterisk_input1%5.366,asterisk_input1%20.156,asterisk_input1%11.184,asterisk_input1%13.154,asterisk_input1%9.425,blur_input1%15.635,blur_input1%5.726,blur_input1%17.074,blur_input1%17.965,blur_input1%8.669,blur_input1%10.245,plaintext_input1%5.787,plaintext_input1%4.739,plaintext_input1%13.277,plaintext_input1%13.439,plaintext_input1%8.711,plaintext_input1%11.253,pixelation_input1%9.528,pixelation_input1%7.237,pixelation_input1%2.339,pixelation_input1%21.244,pixelation_input1%12.516,pixelation_input1%9.99
21,crystallize_input1%11.11,crystallize_input1%9.667,crystallize_input1%31.443,crystallize_input1%17.332,crystallize_input1%20.5,crystallize_input1%18.31,blur_input1%8.753,blur_input1%8.898,blur_input1%16.868,blur_input1%25.686,blur_input1%19.452,blur_input1%16.902,colorhalftone_input1%12.91,colorhalftone_input1%11.584,colorhalftone_input1%19.078,colorhalftone_input1%14.873,colorhalftone_input1%20.411,colorhalftone_input1%24.544,pixelation_input1%10.072,pixelation_input1%11.309,pixelation_input1%20.298,pixelation_input1%14.067,pixelation_input1%19.618,pixelation_input1%18.215,asterisk_input1%9.648,asterisk_input1%8.604,asterisk_input1%16.324,asterisk_input1%12.134,asterisk_input1%20.161,asterisk_input1%19.685,plaintext_input1%10.601,plaintext_input1%8.494,plaintext_input1%29.408,plaintext_input1%19.357,plaintext_input1%20.246,plaintext_input1%16.505
22,blur_input1%5.967,blur_input1%5.869,blur_input1%16.737,blur_input1%16.869,blur_input1%9.954,blur_input1%10.537,pixelation_input1%5.752,pixelation_input1%4.537,pixelation_input1%13.052,pixelation_input1%13.32,pixelation_input1%8.655,pixelation_input1%13.102,crystallize_input1%6.252,crystallize_input1%6.404,crystallize_input1%12.585,crystallize_input1%10.02,crystallize_input1%8.038,crystallize_input1%8.417,plaintext_input1%4.836,plaintext_input1%4.936,plaintext_input1%14.76,plaintext_input1%10.587,plaintext_input1%8.27,plaintext_input1%6.387,colorhalftone_input1%5.071,colorhalftone_input1%4.136,colorhalftone_input1%9.037,colorhalftone_input1%13.087,colorhalftone_input1%8.254,colorhalftone_input1%7.155,asterisk_input1%5.07,asterisk_input1%4.451,asterisk_input1%19.402,asterisk_input1%10.728,asterisk_input1%7.919,asterisk_input1%7.434
23,pixelation_input1%10.502,pixelation_input1%6.339,pixelation_input1%22.196,pixelation_input1%17.337,pixelation_input1%18.831,pixelation_input1%15.017,plaintext_input1%10.724,plaintext_input1%6.386,plaintext_input1%20.071,plaintext_input1%16.609,plaintext_input1%15.656,plaintext_input1%14.898,blur_input1%5.684,blur_input1%7.91,blur_input1%22.822,blur_input1%15.195,blur_input1%15.09,blur_input1%17.248,asterisk_input1%6.759,asterisk_input1%6.723,asterisk_input1%15.335,asterisk_input1%15.65,asterisk_input1%13.902,asterisk_input1%13.134,crystallize_input1%13.696,crystallize_input1%6.394,crystallize_input1%16.023,crystallize_input1%13.896,crystallize_input1%13.003,crystallize_input1%11.73,colorhalftone_input1%9.588,colorhalftone_input1%6.788,colorhalftone_input1%21.754,colorhalftone_input1%14.776,colorhalftone_input1%13.039,colorhalftone_input1%15.545
24,plaintext_input1%9.885,plaintext_input1%5.341,plaintext_input1%29.338,plaintext_input1%16.223,plaintext_input1%10.47,plaintext_input1%12.259,asterisk_input1%6.887,asterisk_input1%7.744,asterisk_input1%24.376,asterisk_input1%18.463,asterisk_input1%14.643,asterisk_input1%13.853,pixelation_input1%7.982,pixelation_input1%7.049,pixelation_input1%23.714,pixelation_input1%13.871,pixelation_input1%15.357,pixelation_input1%13.559,colorhalftone_input1%8.242,colorhalftone_input1%7.262,colorhalftone_input1%20.697,colorhalftone_input1%17.914,colorhalftone_input1%14.259,colorhalftone_input1%17.416,blur_input1%6.944,blur_input1%5.373,blur_input1%13.443,blur_input1%15.023,blur_input1%13.741,blur_input1%8.8,crystallize_input1%6.44,crystallize_input1%6.965,crystallize_input1%22.801,crystallize_input1%22.54,crystallize_input1%12.417,crystallize_input1%14.4
25,asterisk_input1%7.576,asterisk_input1%7.198,asterisk_input1%24.229,asterisk_input1%16.855,asterisk_input1%14.751,asterisk_input1%11.722,colorhalftone_input1%10.008,colorhalftone_input1%8.106,colorhalftone_input1%18.544,colorhalftone_input1%20.642,colorhalftone_input1%14.342,colorhalftone_input1%12.66,plaintext_input1%12.407,plaintext_input1%6.677,plaintext_input1%23.542,plaintext_input1%17.573,plaintext_input1%13.516,plaintext_input1%11.454,crystallize_input1%7.042,crystallize_input1%7.42,crystallize_input1%23.027,crystallize_input1%19.013,crystallize_input1%15.429,crystallize_input1%15.039,pixelation_input1%8.89,pixelation_input1%7.141,pixelation_input1%14.58,pixelation_input1%15.493,pixelation_input1%9.76,pixelation_input1%10.777,blur_input1%7.057,blur_input1%5.557,blur_input1%27.707,blur_input1%20.005,blur_input1%13.378,blur_input1%21.74
26,blur_input1%6.275,blur_input1%8.293,blur_input1%16.224,blur_input1%15.004,blur_input1%10.989,blur_input1%10.523,pixelation_input1%6.63,pixelation_input1%5.506,pixelation_input1%17.028,pixelation_input1%13.318,pixelation_input1%11.194,pixelation_input1%9.194,crystallize_input1%6.041,crystallize_input1%7.687,crystallize_input1%21.891,crystallize_input1%13.609,crystallize_input1%9.355,crystallize_input1%9.85,plaintext_input1%5.56,plaintext_input1%6.081,plaintext_input1%10.456,plaintext_input1%11.993,plaintext_input1%10.848,plaintext_input1%9.204,colorhalftone_input1%7.187,colorhalftone_input1%4.98,colorhalftone_input1%13.271,colorhalftone_input1%11.148,colorhalftone_input1%9.602,colorhalftone_input1%9.146,asterisk_input1%6.307,asterisk_input1%4.9,asterisk_input1%16.497,asterisk_input1%9.793,asterisk_input1%8.88,asterisk_input1%10.658
